"Barcode","MaterialCode","MaterialName","RouteCode","WorkCenterCode","JobDate","ProdQty","CompleteRoute","ProdDateTime"
"VVQO183R072712","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1065.99999","1","2026-08-14 17:39:48"
"VVQO183R072717","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1068.00000","1","2026-08-14 18:15:03"
"VVQO183R072760","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1048.00000","1","2026-08-14 15:53:30"
"VVQO183R072770","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1039.00000","1","2026-08-14 15:25:55"
"VVQO193R072708","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1067.00000","1","2026-08-14 15:44:21"
"VVQO193R072725","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1032.99999","1","2026-08-14 11:56:22"
"VVQO193R072748","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1067.99990","1","2026-08-14 12:47:43"
"VVQO193R072749","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1062.00000","1","2026-08-14 12:57:37"
"VVQO193R072767","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1062.00000","1","2026-08-14 17:21:21"
"VVQO193R072768","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1061.00000","1","2026-08-14 21:00:07"
"VVQO203R072758","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_BG","VVT_F5","2026-08-14","1055.00000","1","2026-08-14 17:20:19"
"VVQQ063R072730","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F5","2026-08-14","1071.00000","1","2026-08-14 18:55:00"
"VVQQ073R072702","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F5","2026-08-14","1065.00000","1","2026-08-14 18:54:20"
"VVQQ073R072720","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F5","2026-08-14","1073.00000","1","2026-08-14 18:55:18"
"VVQQ073R072731","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F5","2026-08-14","1066.00000","1","2026-08-14 18:59:02"
"VVQQ093R072715","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F5","2026-08-14","1064.00000","1","2026-08-14 18:54:41"
"VVQQ103R072724","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1060.00000","1","2026-08-14 10:56:02"
"VVQQ103R072725","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1051.00000","1","2026-08-14 18:55:18"
"VVQQ103R072726","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1055.00000","1","2026-08-14 10:57:04"
"VVQQ113R072715","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1050.00000","1","2026-08-14 17:16:55"
"VVQQ113R072717","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1043.00000","1","2026-08-14 21:55:52"
"VVQQ123R072719","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1049.00000","1","2026-08-15 05:07:21"
"VVQQ123R072726","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1055.00000","1","2026-08-15 05:08:06"
"VVQQ123R072727","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1050.00000","1","2026-08-14 21:26:02"
"VVQQ123R072733","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1051.00000","1","2026-08-15 07:54:58"
"VVQQ133R072717","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1008.00000","1","2026-08-15 04:41:53"
"VVQQ133R072719","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1055.00000","1","2026-08-14 14:15:38"
"VVQQ133R072720","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1036.00000","1","2026-08-14 16:51:48"
"VVQQ133R072727","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1059.00000","1","2026-08-15 05:05:26"
"VVQQ143R072709","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","1054.00000","1","2026-08-15 07:26:39"
"VVQQ143R072715","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-14","996.00000","1","2026-08-15 04:42:29"
"VVQQ033R072710","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1074.00000","","2026-08-15 17:04:36"
"VVQQ063R072709","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1074.00000","","2026-08-15 17:05:38"
"VVQQ063R072712","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1074.00000","","2026-08-15 09:01:49"
"VVQQ063R072732","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1069.00000","","2026-08-15 09:01:23"
"VVQQ063R072733","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1064.00000","","2026-08-15 20:54:03"
"VVQQ083R072703","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1067.00000","","2026-08-15 20:53:45"
"VVQQ083R072707","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1067.00000","","2026-08-16 06:01:18"
"VVQQ083R072709","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1073.00000","","2026-08-15 17:05:01"
"VVQQ083R072711","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1073.00000","","2026-08-15 09:04:45"
"VVQQ093R072710","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1065.00000","","2026-08-15 09:02:23"
"VVQQ093R072711","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26","VVT_F1","2026-08-15","1067.00000","","2026-08-15 17:05:20"
